project_name,total,failed,succeed,complexity
Альфа-банк,92,67.0,25.0,0.7282608695652174
Backbase,59,23.0,36.0,0.3898305084745763
Самолёт Венчурс - Плафторма Самолёт+,50,28.0,22.0,0.56
IHS,41,20.0,21.0,0.4878048780487805
Global Shares Ireland Limited,39,33.0,6.0,0.8461538461538461
Тинькофф Банк,35,32.0,3.0,0.9142857142857143
МТС Диджитал,31,23.0,8.0,0.7419354838709677
СБЕР КИБ Брокерский Бизнес,29,2.0,27.0,0.06896551724137931
Философия ИТ,27,9.0,18.0,0.3333333333333333
Ростелеком #2,26,23.0,3.0,0.8846153846153846
Уральский банк реконструкции и развития,26,16.0,10.0,0.6153846153846154
Банки.ру,25,25.0,0.0,1.0
ПАО Банк «ФК Открытие»,23,11.0,12.0,0.4782608695652174
Ингосстрах-Инвестиции,22,18.0,4.0,0.8181818181818182
Jusan Bank - Staff augmentation,21,3.0,18.0,0.14285714285714285
Яндекс Медиалаб,21,11.0,10.0,0.5238095238095238
msg Plaut Austria GmbH,20,4.0,16.0,0.2
X5 Retail Group Портал поставщика,20,9.0,11.0,0.45
Space (Neobank),20,9.0,11.0,0.45
Accenture Russia,19,4.0,15.0,0.21052631578947367
M10 (PayPoint),18,8.0,10.0,0.4444444444444444
ABB Switzerland Ltd,18,11.0,7.0,0.6111111111111112
ГО ИНВЕСТ,18,0.0,18.0,0.0
МЦ НТТ - TM (РТК Контакт-центр),17,8.0,9.0,0.47058823529411764
Ланит - ВТБ,17,14.0,3.0,0.8235294117647058
Allianz Partners,16,5.0,11.0,0.3125
Exness,16,8.0,8.0,0.5
inDriver,16,3.0,13.0,0.1875
BSS Group,15,12.0,3.0,0.8
Ланит - Сбер,14,6.0,8.0,0.42857142857142855
Сбер Риски Департамент интегрированного риск-менеджмента,13,11.0,2.0,0.8461538461538461
Paysera,13,6.0,7.0,0.46153846153846156
ATG,13,4.0,9.0,0.3076923076923077
Publicis Media DE,12,2.0,10.0,0.16666666666666666
JTI (Japan Tobacco International),12,7.0,5.0,0.5833333333333334
IHS Kernel,12,8.0,4.0,0.6666666666666666
Team Force,12,10.0,2.0,0.8333333333333334
Reuter Gruppe,11,1.0,10.0,0.09090909090909091
Сбербанк Казахстан,11,1.0,10.0,0.09090909090909091
Moovforge,11,7.0,4.0,0.6363636363636364
Yara International,10,4.0,6.0,0.4
StormPay,10,7.0,3.0,0.7
"Retrain.ai, inc",9,3.0,6.0,0.3333333333333333
People Intelligence,9,5.0,4.0,0.5555555555555556
GMCS,9,6.0,3.0,0.6666666666666666
Exinity,9,5.0,4.0,0.5555555555555556
Allianz Partners (MultiLob),9,0.0,9.0,0.0
SupplyStack,8,2.0,6.0,0.25
Transporeon,8,0.0,8.0,0.0
Datagile,8,3.0,5.0,0.375
Wondersign,8,6.0,2.0,0.75
МАГНИТ,8,7.0,1.0,0.875
Сбер РБ Кошелек Клиента (ФИТ),7,4.0,3.0,0.5714285714285714
Сбер РБ - Домклик,7,6.0,1.0,0.8571428571428571
River Tech,7,3.0,4.0,0.42857142857142855
Compleet,7,2.0,5.0,0.2857142857142857
Манго телеком,7,7.0,0.0,1.0
Data Lens Labs Ltd,7,1.0,6.0,0.14285714285714285
eurofunk,7,3.0,4.0,0.42857142857142855
ANIXE,7,6.0,1.0,0.8571428571428571
Thryve (mHealth Pioneers GmbH),7,1.0,6.0,0.14285714285714285
NEXR Technologies SE,7,4.0,3.0,0.5714285714285714
Atroo,7,2.0,5.0,0.2857142857142857
X5 Retail Group. 5POST,7,5.0,2.0,0.7142857142857143
Phenom People,6,4.0,2.0,0.6666666666666666
Wio Bank,6,6.0,0.0,1.0
Сбер РБ ДомКлик_ЕФС,6,3.0,3.0,0.5
Rush Street Interactive,6,2.0,4.0,0.3333333333333333
Wayflyer Limited,6,4.0,2.0,0.6666666666666666
Crystal Blockchain,6,0.0,6.0,0.0
Сбер РБ Социальные и зарплатные решения,6,2.0,4.0,0.3333333333333333
Comparis,6,2.0,4.0,0.3333333333333333
BIKE24,5,3.0,2.0,0.6
Madkhol,5,4.0,1.0,0.8
Quincus,5,5.0,0.0,1.0
WorldR,5,1.0,4.0,0.2
Brandoo,5,2.0,3.0,0.4
tabby SA,5,1.0,4.0,0.2
Scytl,5,2.0,3.0,0.4
Moonfare,5,2.0,3.0,0.4
MemberNova,5,3.0,2.0,0.6
Ververica,5,0.0,5.0,0.0
Letsbloom,5,2.0,3.0,0.4
Booking Group Corporation,5,0.0,5.0,0.0
Ecovium GmbH,5,3.0,2.0,0.6
PropertyGuru Group,5,3.0,2.0,0.6
Softeq Minsk,5,5.0,0.0,1.0
Verses,5,0.0,5.0,0.0
Bundle,4,3.0,1.0,0.75
Duftner,4,1.0,3.0,0.25
Alternative Payments PSD2,4,2.0,2.0,0.5
Allianz Technology,4,4.0,0.0,1.0
RCI Banque S.A. Niederlassung Deutschland,4,1.0,3.0,0.25
Eleving Group,4,2.0,2.0,0.5
IPF digital (Java),4,4.0,0.0,1.0
IPF digital (WEB),4,4.0,0.0,1.0
Independer,4,0.0,4.0,0.0
AssetBook LLC2,4,0.0,4.0,0.0
Majorel,4,1.0,3.0,0.25
Mondia group,4,2.0,2.0,0.5
Kooba,4,1.0,3.0,0.25
Сбер РБ Платежи&Переводы,4,3.0,1.0,0.75
CHANTELLE,4,0.0,4.0,0.0
I-Teco,4,3.0,1.0,0.75
СберМаркет,3,2.0,1.0,0.6666666666666666
SchenckONE Machine,3,0.0,3.0,0.0
Arviem AG,3,0.0,3.0,0.0
Centtrip USA,3,0.0,3.0,0.0
TICON UK LIMITED,3,0.0,3.0,0.0
Decta,3,0.0,3.0,0.0
I22,3,1.0,2.0,0.3333333333333333
Geta Digital,3,1.0,2.0,0.3333333333333333
BlueBridge Technologies,3,3.0,0.0,1.0
Nexxiot AG,3,1.0,2.0,0.3333333333333333
Getsafe,3,1.0,2.0,0.3333333333333333
IPF digital,3,0.0,3.0,0.0
Qatar National Bank,3,0.0,3.0,0.0
Rezolve,2,0.0,2.0,0.0
Chrsolutions,2,1.0,1.0,0.5
Shieldpay,2,1.0,1.0,0.5
Trip-arc,2,0.0,2.0,0.0
verivox.de,2,0.0,2.0,0.0
Bitmovin GmbH,2,2.0,0.0,1.0
Emma Sleep GmbH,2,1.0,1.0,0.5
Allianz Technology (GSI Travel),2,0.0,2.0,0.0
Банк Синара (СКБ-банк),2,1.0,1.0,0.5
Roibox,2,2.0,0.0,1.0
Spiromatic,2,0.0,2.0,0.0
Aisemo,2,0.0,2.0,0.0
Fressnapf Tiernahrungs,2,0.0,2.0,0.0
ethinking,2,0.0,2.0,0.0
Centtrip UK,2,1.0,1.0,0.5
Lexop,1,1.0,0.0,1.0
Laya Technologies,1,0.0,1.0,0.0
ITFB Group,1,1.0,0.0,1.0
СБЕР РБ Цифровая Платформа,1,1.0,0.0,1.0
Upfitness,1,0.0,1.0,0.0
Cian_2,1,1.0,0.0,1.0
JET RoR,1,1.0,0.0,1.0
The Sole Supplier,1,0.0,1.0,0.0
Allianz Technology - Canada,1,1.0,0.0,1.0
Synchtank,1,0.0,1.0,0.0
DMHub,1,0.0,1.0,0.0
Broadcasting Center Europe (BCE),1,0.0,1.0,0.0
Leonteq,1,0.0,1.0,0.0
Siemens UK | Yunex Traffic,1,0.0,1.0,0.0
cxomni CXM cloud,1,0.0,1.0,0.0
Stoovo,1,1.0,0.0,1.0
LigaStavok.TM,1,1.0,0.0,1.0
Yonoton,1,0.0,1.0,0.0
Enersis,1,0.0,1.0,0.0
AMDTelecom,1,1.0,0.0,1.0
undefined,0,0.0,0.0,0.5
