project_name,interview_technology,total,failed,succeed,complexity
IHS,NET,250,140.0,110.0,0.56
Самолёт Венчурс - Плафторма Самолёт+,NET,200,96.0,104.0,0.48
Альфа-банк,JAVA,154,105.0,49.0,0.6818181818181818
Backbase,JAVA,126,49.0,77.0,0.3888888888888889
Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,105,70.0,35.0,0.6666666666666666
Альфа-банк,SYSTEM_ANALYST,98,70.0,28.0,0.7142857142857143
Тинькофф Банк,JAVA,91,91.0,0.0,1.0
Global Shares Ireland Limited,QA_ENGINEER,85,70.0,15.0,0.8235294117647058
Backbase,QA_AUTOMATION_ENGINEER_JAVA,84,49.0,35.0,0.5833333333333334
МТС Диджитал,NET,80,55.0,25.0,0.6875
Яндекс Медиалаб,JAVA,78,36.0,42.0,0.46153846153846156
Тинькофф Банк,IOS,77,63.0,14.0,0.8181818181818182
Банки.ру,PHP,72,72.0,0.0,1.0
Самолёт Венчурс - Плафторма Самолёт+,PROJECT_MANAGEMENT,72,56.0,16.0,0.7777777777777778
Backbase,IOS,70,21.0,49.0,0.3
Альфа-банк,ANDROID,63,56.0,7.0,0.8888888888888888
Альфа-банк,IOS,56,56.0,0.0,1.0
Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,55,45.0,10.0,0.8181818181818182
Философия ИТ,JAVA,54,18.0,36.0,0.3333333333333333
Jusan Bank - Staff augmentation,JAVA,50,10.0,40.0,0.2
Space (Neobank),IOS,49,28.0,21.0,0.5714285714285714
Альфа-банк,BUSINESS_ANALYST,49,35.0,14.0,0.7142857142857143
Backbase,ANGULAR,49,7.0,42.0,0.14285714285714285
Ростелеком #2,ANDROID,48,48.0,0.0,1.0
ПАО Банк «ФК Открытие»,ANDROID,45,15.0,30.0,0.3333333333333333
Moovforge,REACT,40,24.0,16.0,0.6
Publicis Media DE,NET,40,8.0,32.0,0.2
IHS,QA_AUTOMATION_C_SHARP,40,30.0,10.0,0.75
X5 Retail Group Портал поставщика,PYTHON,40,25.0,15.0,0.625
IHS,ANGULAR,40,10.0,30.0,0.25
ABB Switzerland Ltd,NET,36,24.0,12.0,0.6666666666666666
Ингосстрах-Инвестиции,SYSTEM_ANALYST,36,28.0,8.0,0.7777777777777778
СБЕР КИБ Брокерский Бизнес,JAVA,36,0.0,36.0,0.0
Тинькофф Банк,ANDROID,35,35.0,0.0,1.0
Space (Neobank),C_SHARP,35,14.0,21.0,0.4
Backbase,ANDROID,35,28.0,7.0,0.8
Уральский банк реконструкции и развития,REACT,33,21.0,12.0,0.6363636363636364
Сбер Риски Департамент интегрированного риск-менеджмента,JAVA,33,30.0,3.0,0.9090909090909091
Самолёт Венчурс - Плафторма Самолёт+,QA,32,8.0,24.0,0.25
Самолёт Венчурс - Плафторма Самолёт+,SYSTEM_ANALYST,32,16.0,16.0,0.5
IHS,QA,30,0.0,30.0,0.0
Сбер РБ - Домклик,SYSTEM_ANALYST,30,30.0,0.0,1.0
Ростелеком #2,SYSTEM_ANALYST,30,30.0,0.0,1.0
IHS,JAVA,30,10.0,20.0,0.3333333333333333
Backbase,"QA_AUTOMATION_ENGINEER_JAVA,QA_AUTOMATION_ENGINEER_JS",28,0.0,28.0,0.0
Альфа-банк,DEVOPS,28,14.0,14.0,0.5
Альфа-банк,QA_ENGINEER,28,28.0,0.0,1.0
СБЕР КИБ Брокерский Бизнес,QA,27,0.0,27.0,0.0
Jusan Bank - Staff augmentation,ANGULAR,25,0.0,25.0,0.0
МТС Диджитал,GO,25,15.0,10.0,0.6
Самолёт Венчурс - Плафторма Самолёт+,VUE_JS,24,8.0,16.0,0.3333333333333333
Банки.ру,REACT,24,24.0,0.0,1.0
Exinity,PHP,24,12.0,12.0,0.5
Ростелеком #2,IOS,24,12.0,12.0,0.5
Яндекс Медиалаб,PYTHON,24,18.0,6.0,0.75
Space (Neobank),ANDROID,21,14.0,7.0,0.6666666666666666
СБЕР КИБ Брокерский Бизнес,SYSTEM_ANALYST,21,6.0,15.0,0.2857142857142857
Альфа-банк,QA_AUTOMATION_C_SHARP,21,21.0,0.0,1.0
Global Shares Ireland Limited,ANGULAR,20,15.0,5.0,0.75
Ланит - ВТБ,JAVA,20,16.0,4.0,0.8
IHS,DEVOPS,20,10.0,10.0,0.5
ПАО Банк «ФК Открытие»,QA,20,0.0,20.0,0.0
Madkhol,NODE_JS,20,16.0,4.0,0.8
ABB Switzerland Ltd,QA_AUTOMATION_C_SHARP,20,16.0,4.0,0.8
Wio Bank,JAVA,18,18.0,0.0,1.0
МЦ НТТ - TM (РТК Контакт-центр),QA_AUTOMATION_ENGINEER_JAVA,18,12.0,6.0,0.6666666666666666
Yara International,REACT_NATIVE,18,0.0,18.0,0.0
Банки.ру,JAVA,18,18.0,0.0,1.0
Банки.ру,SYSTEM_ANALYST,18,18.0,0.0,1.0
Яндекс Медиалаб,DATA_ANALYST,18,12.0,6.0,0.6666666666666666
Yara International,NODE_JS,18,12.0,6.0,0.6666666666666666
Философия ИТ,REACT,18,6.0,12.0,0.3333333333333333
Ростелеком #2,"ANDROID,JAVA,KOTLIN",18,12.0,6.0,0.6666666666666666
Exness,GRAPHIC_DESIGNER,16,8.0,8.0,0.5
Ингосстрах-Инвестиции,BUSINESS_ANALYST,16,16.0,0.0,1.0
BSS Group,JAVA,16,12.0,4.0,0.75
Самолёт Венчурс - Плафторма Самолёт+,UX_UI,16,16.0,0.0,1.0
BIKE24,REACT,15,9.0,6.0,0.6
Accenture Russia,SQL,15,0.0,15.0,0.0
Mondia group,NODE_JS,15,5.0,10.0,0.3333333333333333
ПАО Банк «ФК Открытие»,QA_ENGINEER,15,15.0,0.0,1.0
Global Shares Ireland Limited,NET,15,15.0,0.0,1.0
Global Shares Ireland Limited,SOFTWARE_ARCHITECT,15,15.0,0.0,1.0
StormPay,IOS,15,10.0,5.0,0.6666666666666666
МТС Диджитал,SYSTEM_ANALYST,15,15.0,0.0,1.0
Альфа-банк,"JAVA,KOTLIN",14,7.0,7.0,0.5
Альфа-банк,PRODUCT_OWNER,14,0.0,14.0,0.0
Space (Neobank),NET,14,7.0,7.0,0.5
Backbase,DEVOPS,14,7.0,7.0,0.5
ATG,REACT,14,4.0,10.0,0.2857142857142857
Сбербанк Казахстан,REACT,12,0.0,12.0,0.0
Сбербанк Казахстан,IOS,12,0.0,12.0,0.0
ABB Switzerland Ltd,REACT,12,4.0,8.0,0.3333333333333333
Exness,PYTHON,12,8.0,4.0,0.6666666666666666
X5 Retail Group. 5POST,BI_ANALYST,12,8.0,4.0,0.6666666666666666
Уральский банк реконструкции и развития,SYSTEM_ANALYST,12,6.0,6.0,0.5
Exness,DEVOPS,12,8.0,4.0,0.6666666666666666
X5 Retail Group. 5POST,DEVOPS,12,12.0,0.0,1.0
JTI (Japan Tobacco International),PHP,12,6.0,6.0,0.5
IPF digital (Java),JAVA,12,12.0,0.0,1.0
inDriver,"PHP,YII",12,6.0,6.0,0.5
Reuter Gruppe,REACT,12,0.0,12.0,0.0
ГО ИНВЕСТ,QA_ENGINEER,12,0.0,12.0,0.0
МЦ НТТ - TM (РТК Контакт-центр),REACT,12,3.0,9.0,0.25
Reuter Gruppe,NODE_JS,12,3.0,9.0,0.25
BSS Group,QA_ENGINEER,12,12.0,0.0,1.0
ATG,NODE_JS,12,4.0,8.0,0.3333333333333333
Accenture Russia,BUSINESS_ANALYST,12,12.0,0.0,1.0
M10 (PayPoint),FLUTTER,12,4.0,8.0,0.3333333333333333
Majorel,SYSTEM_ANALYST,12,4.0,8.0,0.3333333333333333
Ингосстрах-Инвестиции,ANDROID,12,12.0,0.0,1.0
Thryve (mHealth Pioneers GmbH),JAVA,10,2.0,8.0,0.2
GMCS,SYSTEM_ANALYST,10,6.0,4.0,0.6
Jusan Bank - Staff augmentation,"ANGULAR,ANGULAR_JS",10,5.0,5.0,0.5
StormPay,"GRAPHIC_DESIGNER,WEB_DESIGNER",10,10.0,0.0,1.0
StormPay,ANDROID,10,5.0,5.0,0.5
M10 (PayPoint),JAVA,10,6.0,4.0,0.6
Wayflyer Limited,PYTHON,10,8.0,2.0,0.8
River Tech,JAVA,10,6.0,4.0,0.6
msg Plaut Austria GmbH,IOS,10,0.0,10.0,0.0
X5 Retail Group Портал поставщика,ANGULAR,10,0.0,10.0,0.0
МТС Диджитал,DATA_ENGINEER,10,5.0,5.0,0.5
X5 Retail Group Портал поставщика,DEVOPS,10,5.0,5.0,0.5
X5 Retail Group Портал поставщика,UX_UI,10,5.0,5.0,0.5
Сбер РБ ДомКлик_ЕФС,JAVA,10,10.0,0.0,1.0
ПАО Банк «ФК Открытие»,JAVA,10,10.0,0.0,1.0
МТС Диджитал,ORACLE,10,10.0,0.0,1.0
Уральский банк реконструкции и развития,"PHP,SYMFONY",9,6.0,3.0,0.6666666666666666
Уральский банк реконструкции и развития,JAVA,9,6.0,3.0,0.6666666666666666
Сбербанк Казахстан,ANDROID,9,3.0,6.0,0.3333333333333333
Сбер РБ Кошелек Клиента (ФИТ),SYSTEM_ANALYST,9,3.0,6.0,0.3333333333333333
Accenture Russia,"DATA_ENGINEER_ETL,SQL",9,0.0,9.0,0.0
Accenture Russia,JAVA,9,0.0,9.0,0.0
Alternative Payments PSD2,NET,9,6.0,3.0,0.6666666666666666
МЦ НТТ - TM (РТК Контакт-центр),JAVA,9,3.0,6.0,0.3333333333333333
JTI (Japan Tobacco International),NET,9,6.0,3.0,0.6666666666666666
ГО ИНВЕСТ,SYSTEM_ANALYST,9,0.0,9.0,0.0
JTI (Japan Tobacco International),DEVOPS,9,9.0,0.0,1.0
ГО ИНВЕСТ,ANDROID,9,0.0,9.0,0.0
tabby SA,IOS,9,3.0,6.0,0.3333333333333333
Самолёт Венчурс - Плафторма Самолёт+,QA_AUTOMATION_ENGINEER_JS,8,8.0,0.0,1.0
BSS Group,SYSTEM_ANALYST,8,8.0,0.0,1.0
SupplyStack,NODE_JS,8,4.0,4.0,0.5
inDriver,ANDROID,8,0.0,8.0,0.0
inDriver,IOS,8,0.0,8.0,0.0
Самолёт Венчурс - Плафторма Самолёт+,SOLUTIONS_ARCHITECT,8,8.0,0.0,1.0
МАГНИТ,VUE_JS,8,8.0,0.0,1.0
МАГНИТ,ANDROID,8,8.0,0.0,1.0
Самолёт Венчурс - Плафторма Самолёт+,DEVOPS,8,8.0,0.0,1.0
Ингосстрах-Инвестиции,QA_AUTOMATION_ENGINEER_PYTHON,8,8.0,0.0,1.0
Quincus,JAVA,8,8.0,0.0,1.0
Quincus,RUBY,8,8.0,0.0,1.0
Team Force,JAVA,8,6.0,2.0,0.75
Paysera,REACT,8,4.0,4.0,0.5
Team Force,IOS,8,8.0,0.0,1.0
Exness,NODE_JS,8,4.0,4.0,0.5
Exinity,SYSTEM_ANALYST,8,8.0,0.0,1.0
IPF digital,IOS,8,0.0,8.0,0.0
BSS Group,QA,8,4.0,4.0,0.5
Booking Group Corporation,REACT,8,0.0,8.0,0.0
BSS Group,REACT,8,4.0,4.0,0.5
BSS Group,NODE_REACT,8,8.0,0.0,1.0
Exness,"REACT,REDUX",8,0.0,8.0,0.0
Independer,ANGULAR,8,0.0,8.0,0.0
Ланит - Сбер,REACT,7,1.0,6.0,0.14285714285714285
Space (Neobank),SQL,7,0.0,7.0,0.0
Альфа-банк,GO,7,7.0,0.0,1.0
Space (Neobank),QA_MOBILE,7,0.0,7.0,0.0
Space (Neobank),"PYTHON,QA_MOBILE",7,0.0,7.0,0.0
Тинькофф Банк,ANGULAR,7,7.0,0.0,1.0
Тинькофф Банк,BUSINESS_ANALYST,7,7.0,0.0,1.0
Тинькофф Банк,"BUSINESS_ANALYST,SYSTEM_ANALYST",7,0.0,7.0,0.0
Альфа-банк,POSTGRESQL,7,0.0,7.0,0.0
Тинькофф Банк,REACT,7,7.0,0.0,1.0
Тинькофф Банк,SCALA,7,7.0,0.0,1.0
Тинькофф Банк,SYSTEM_ANALYST,7,7.0,0.0,1.0
Transporeon,JAVA,7,0.0,7.0,0.0
Backbase,"QA_AUTOMATION_ENGINEER_JS,QA_AUTOMATION_ENGINEER_JAVA",7,0.0,7.0,0.0
M10 (PayPoint),QA_AUTOMATION_ENGINEER_JAVA,6,4.0,2.0,0.6666666666666666
Ростелеком #2,QA_AUTOMATION_ENGINEER_PYTHON,6,6.0,0.0,1.0
IHS Kernel,DEVOPS,6,5.0,1.0,0.8333333333333334
ГО ИНВЕСТ,QA,6,0.0,6.0,0.0
Сбер Риски Департамент интегрированного риск-менеджмента,QA_AUTOMATION_ENGINEER_JAVA,6,3.0,3.0,0.5
Ростелеком #2,C_PLUSPLUS,6,6.0,0.0,1.0
Ростелеком #2,GO,6,6.0,0.0,1.0
Сбер РБ Социальные и зарплатные решения,JAVA,6,2.0,4.0,0.3333333333333333
Сбер РБ Платежи&Переводы,QA,6,6.0,0.0,1.0
Сбер РБ Платежи&Переводы,JAVA,6,3.0,3.0,0.5
"Retrain.ai, inc",NODE_JS,6,2.0,4.0,0.3333333333333333
"Retrain.ai, inc",PYTHON,6,2.0,4.0,0.3333333333333333
"Retrain.ai, inc",REACT,6,2.0,4.0,0.3333333333333333
Allianz Technology,DATA_ENGINEER_DBA,6,6.0,0.0,1.0
Ланит - ВТБ,REACT,6,6.0,0.0,1.0
Phenom People,UX_UI,6,4.0,2.0,0.6666666666666666
Ростелеком #2,REACT,6,6.0,0.0,1.0
Ростелеком #2,ROR,6,6.0,0.0,1.0
Ростелеком #2,RUBY,6,6.0,0.0,1.0
tabby SA,REACT_NATIVE,6,0.0,6.0,0.0
ГО ИНВЕСТ,QA_PERFORMANCE,6,0.0,6.0,0.0
Allianz Partners,JAVA,6,1.0,5.0,0.16666666666666666
Accenture Russia,"POWER_BI,SQL",6,0.0,6.0,0.0
ГО ИНВЕСТ,QA_AUTOMATION_ENGINEER_JAVA,6,0.0,6.0,0.0
msg Plaut Austria GmbH,ANDROID,6,0.0,6.0,0.0
Brandoo,REACT_NATIVE,6,4.0,2.0,0.6666666666666666
Scytl,"JAVA,PYTHON",6,4.0,2.0,0.6666666666666666
Softeq Minsk,QA_AUTOMATION_ENGINEER_JS,6,6.0,0.0,1.0
Манго телеком,QA_ENGINEER,6,6.0,0.0,1.0
msg Plaut Austria GmbH,JAVA,6,2.0,4.0,0.3333333333333333
Манго телеком,QA_AUTOMATION_ENGINEER_JAVA,6,6.0,0.0,1.0
Datagile,"REACT,TYPE_SCRIPT",6,1.0,5.0,0.16666666666666666
Yara International,QA_AUTOMATION,6,0.0,6.0,0.0
Банки.ру,QA_AUTOMATION_ENGINEER_JAVA,6,6.0,0.0,1.0
Compleet,VUE_JS,6,0.0,6.0,0.0
Уральский банк реконструкции и развития,QA_ENGINEER,6,6.0,0.0,1.0
Yara International,SOFTWARE_ARCHITECT,6,0.0,6.0,0.0
Банки.ру,ANDROID,6,6.0,0.0,1.0
Ecovium GmbH,BUSINESS_ANALYST,6,4.0,2.0,0.6666666666666666
M10 (PayPoint),DEVOPS,6,2.0,4.0,0.3333333333333333
Data Lens Labs Ltd,REACT,6,2.0,4.0,0.3333333333333333
Compleet,PHP,6,0.0,6.0,0.0
Duftner,JAVA,6,2.0,4.0,0.3333333333333333
Философия ИТ,QA_AUTOMATION,6,3.0,3.0,0.5
Банки.ру,NODE_JS,6,6.0,0.0,1.0
ГО ИНВЕСТ,IOS,6,0.0,6.0,0.0
MemberNova,QA_AUTOMATION,6,4.0,2.0,0.6666666666666666
Yara International,PRODUCT_OWNER,6,6.0,0.0,1.0
Манго телеком,NODE_JS,6,6.0,0.0,1.0
Яндекс Медиалаб,ANDROID,6,0.0,6.0,0.0
Yara International,NET,6,6.0,0.0,1.0
WorldR,"VUE_JS,TYPE_SCRIPT",6,3.0,3.0,0.5
Банк Синара (СКБ-банк),SYSTEM_ANALYST,6,3.0,3.0,0.5
X5 Retail Group Портал поставщика,"PHP,REACT,TYPE_SCRIPT",5,0.0,5.0,0.0
X5 Retail Group Портал поставщика,REACT,5,0.0,5.0,0.0
